t_s,port,port_name,status,d1,d2
6314.577263,128:0,Tab S8 Ultra de Pedro Tab S8 Ultra de Pedro Bluetooth,232,43,64
6314.577263,128:0,Tab S8 Ultra de Pedro Tab S8 Ultra de Pedro Bluetooth,232,53,64
6314.579759,32:0,SAMSUNG_Android SAMSUNG_Android MIDI 1,232,81,63
6314.591651,32:0,SAMSUNG_Android SAMSUNG_Android MIDI 1,232,101,63
6314.603013,32:0,SAMSUNG_Android SAMSUNG_Android MIDI 1,232,111,63
6314.616764,32:0,SAMSUNG_Android SAMSUNG_Android MIDI 1,232,121,63
6314.620245,128:0,Tab S8 Ultra de Pedro Tab S8 Ultra de Pedro Bluetooth,232,63,64
6314.620247,128:0,Tab S8 Ultra de Pedro Tab S8 Ultra de Pedro Bluetooth,232,72,64
6314.620247,128:0,Tab S8 Ultra de Pedro Tab S8 Ultra de Pedro Bluetooth,232,83,64
6314.622238,128:0,Tab S8 Ultra de Pedro Tab S8 Ultra de Pedro Bluetooth,232,93,64
6314.622240,128:0,Tab S8 Ultra de Pedro Tab S8 Ultra de Pedro Bluetooth,232,103,64
6314.622241,128:0,Tab S8 Ultra de Pedro Tab S8 Ultra de Pedro Bluetooth,232,70,63
6314.622241,128:0,Tab S8 Ultra de Pedro Tab S8 Ultra de Pedro Bluetooth,152,51,127
6314.622241,128:0,Tab S8 Ultra de Pedro Tab S8 Ultra de Pedro Bluetooth,136,50,0
6314.628024,32:0,SAMSUNG_Android SAMSUNG_Android MIDI 1,232,13,64
6314.641391,32:0,SAMSUNG_Android SAMSUNG_Android MIDI 1,232,23,64
6314.653117,32:0,SAMSUNG_Android SAMSUNG_Android MIDI 1,232,43,64
6314.665224,128:0,Tab S8 Ultra de Pedro Tab S8 Ultra de Pedro Bluetooth,232,81,63
6314.665230,128:0,Tab S8 Ultra de Pedro Tab S8 Ultra de Pedro Bluetooth,232,91,63
6314.665232,128:0,Tab S8 Ultra de Pedro Tab S8 Ultra de Pedro Bluetooth,232,101,63
