t,status,d1,d2,src
30055.2652,236,110,72,1
30055.2818,236,98,72,1
30055.2985,236,86,72,1
30055.3152,236,73,72,1
30055.3318,236,62,72,1
30055.3485,236,50,72,1
30055.3652,236,38,72,1
30055.3818,236,28,72,1
30055.3985,236,19,72,1
30055.4152,236,11,72,1
30055.4318,236,3,72,1
30055.4485,236,124,71,1
30055.4651,236,115,71,1
30055.4818,236,108,71,1
30055.4985,236,101,71,1
30055.5151,236,95,71,1
30055.5318,236,90,71,1
30055.5485,236,85,71,1
30055.5652,236,81,71,1
30055.5818,236,77,71,1
30055.5985,236,74,71,1
30055.6151,236,71,71,1
30055.6318,236,68,71,1
30055.6485,236,65,71,1
30055.6651,236,62,71,1
30055.6818,236,60,71,1
30055.6985,236,57,71,1
30055.7151,236,54,71,1
30055.7318,236,51,71,1
30055.7485,236,48,71,1
30055.7651,236,44,71,1
30055.7818,236,41,71,1
30055.7985,236,39,71,1
30055.8151,236,35,71,1
30055.8318,236,31,71,1
30055.8485,236,27,71,1
30055.8651,236,22,71,1
30055.8818,236,16,71,1
30055.8985,236,10,71,1
30055.9151,236,4,71,1
30055.9318,236,125,70,1
30055.9485,236,117,70,1
30055.9651,236,111,70,1
30055.9818,236,105,70,1
30055.9985,236,98,70,1
30056.0151,236,90,70,1
30056.0318,236,82,70,1
30056.0485,236,73,70,1
30056.0651,236,64,70,1
30056.0818,236,53,70,1
30056.0985,236,45,70,1
30056.1151,236,36,70,1
30056.1318,236,26,70,1
30056.1485,236,17,70,1
30056.1651,236,9,70,1
30056.1818,236,2,70,1
30056.1985,236,123,69,1
30056.2151,236,116,69,1
30056.2318,236,111,69,1
30056.2484,236,106,69,1
30056.2651,236,101,69,1
30056.2818,236,96,69,1
30056.2984,236,92,69,1
30056.3151,236,88,69,1
30056.3318,236,85,69,1
30056.3484,236,83,69,1
30056.3651,236,80,69,1
30056.3818,236,79,69,1
30056.3984,236,78,69,1
30056.4151,236,76,69,1
30056.4318,236,75,69,1
30056.4485,236,73,69,1
30056.4651,236,71,69,1
30056.4818,236,69,69,1
30056.4984,236,66,69,1
30056.5151,236,65,69,1
30056.5318,236,61,69,1
30056.5484,236,60,69,1
30056.5651,236,57,69,1
30056.5818,236,55,69,1
30056.5984,236,51,69,1
30056.6151,236,47,69,1
30056.6318,236,41,69,1
30056.6484,236,34,69,1
30056.6651,236,23,69,1
30056.6818,236,11,69,1
30056.6985,236,127,68,1
30056.7151,236,116,68,1
30056.7318,236,105,68,1
30056.7484,236,95,68,1
30056.7651,236,86,68,1
30056.7818,236,76,68,1
30056.7984,236,64,68,1
30056.8151,236,53,68,1
30056.8318,236,43,68,1
30056.8484,236,33,68,1
30056.8651,236,25,68,1
30056.8818,236,17,68,1
30056.8984,236,9,68,1
30056.9151,236,1,68,1
30056.9317,236,121,67,1
30056.9484,236,114,67,1
30056.9651,236,106,67,1
30056.9818,236,99,67,1
30056.9984,236,91,67,1
30057.0151,236,84,67,1
30057.0318,236,78,67,1
30057.0484,236,73,67,1
30057.0651,236,67,67,1
30057.0817,236,63,67,1
30057.0984,236,60,67,1
30057.1151,236,57,67,1
30057.1317,236,55,67,1
30057.1484,236,53,67,1
30057.1651,236,52,67,1
30057.1817,236,51,67,1
30057.2818,236,50,67,1
30057.3149,236,49,67,1
30057.3483,236,48,67,1
30057.3816,236,47,67,1
30057.4149,236,46,67,1
30057.4816,236,45,67,1
30057.5149,236,44,67,1
30057.5649,236,43,67,1
30058.0318,220,0,0,1
30058.0318,140,38,64,1
30059.2997,237,0,64,1
30059.2997,157,48,120,1
30059.3651,237,10,64,1
30059.3817,237,24,64,1
30059.3985,237,41,64,1
30059.4151,237,60,64,1
30059.4317,237,78,64,1
30059.4484,237,93,64,1
30059.4651,237,107,64,1
30059.4817,237,122,64,1
30059.4984,237,9,65,1
30059.5150,237,24,65,1
30059.5317,237,38,65,1
30059.5484,237,54,65,1
30059.5650,237,69,65,1
30059.5817,237,85,65,1
30059.5983,237,101,65,1
30059.6150,237,119,65,1
30059.6317,237,8,66,1
30059.6483,237,26,66,1
30059.6650,237,45,66,1
30059.6817,237,64,66,1
30059.6983,237,87,66,1
30059.7150,237,109,66,1
30059.7316,237,127,66,1
30059.7483,237,18,67,1
30059.7650,237,35,67,1
30059.7816,237,52,67,1
30059.7983,237,71,67,1
30059.8150,237,86,67,1
30059.8316,237,103,67,1
30059.8483,237,118,67,1
30059.8650,237,6,68,1
